album_name,track_title,track_n,lyric,line
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,I-I-I like it,46
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,"Once upon a time, a few mistakes ago",1
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,"I was in your sights, you got me alone",2
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,"You found me, you found me",3
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,You found me-e-e-e-e,4
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,I guess you didn't care and I guess I liked that,5
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,"And when I fell hard, you took a step back",6
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,"Without me, without me",7
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,Without me-e-e-e-e,8
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,And he's long gone when he's next to me,9
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,And I realize the blame is on me,10
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,Cause I knew you were troublе when you walked in,11
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,So shame on mе now,12
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,Flew me to places I'd never been,13
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,"Til you put me down, oh",14
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,I knew you were trouble when you walked in,15
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,So shame on me now,16
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,Flew me to places I'd never been,17
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,Now I'm lying on the cold hard ground,18
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,"Oh, oh",19
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,"Trouble, trouble, trouble",20
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,"Oh, oh",21
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,"Trouble, trouble, trouble",22
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,"No apologies, he'll never see you cry",23
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,Pretends he doesn't know that he's the reason why,24
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,"You're drowning, you're drowning",25
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,You're drowning-ing-ing-ing-ing,26
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,And I heard you moved on from whispers on the street,27
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,A new notch in your belt is all I'll ever be,28
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,"And now I see, now I see",29
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,Now I see-e-e-e-e,30
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,He was long gone when he met me,31
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,"And I realize the joke is on me, hey",32
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,I knew you were trouble when you walked in (Oh),33
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,So shame on me now,34
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,Flew me to places I'd never been,35
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,"Til you put me down, oh",36
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,I knew you were trouble when you walked in,37
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,So shame on me now,38
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,Flew me to places I'd never been (Yeah),39
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,Now I'm lying on the cold hard ground,40
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,"Oh, oh (Yeah)",41
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,"Trouble, trouble, trouble (Trouble)",42
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,"Oh, oh",43
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,"Trouble, trouble, trouble",44
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,And the saddest fear,45
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,Comes creeping in,46
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,That you never loved me or her,47
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,"Or anyone, or anything, yeah",48
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,I knew you were trouble when you walked in,49
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,So shame on me now,50
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,Flew me to places I'd never been (Never been),51
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,"Til you put me down, oh",52
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,I knew you were trouble when you walked in (Knew it right there),53
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,So shame on me now (Knew it right there),54
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,Flew me to places I'd never been (Ooh),55
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,Now I'm lying on the cold hard ground,56
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,"Oh, oh",57
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,"Trouble, trouble, trouble (Oh)",58
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,"Oh, oh",59
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,"Trouble, trouble, trouble (Trouble)",60
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,Cause I knew you were trouble when you walked in,61
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,"Trouble, trouble, trouble",62
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,Cause I knew you were trouble when you walked in,63
Red (Taylor’s Version),I Knew You Were Trouble (Taylor’s Version),4,"Trouble, trouble, trouble",64
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,"I walked through the door with you, the air was cold",1
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,But something 'bout it felt like home somehow,2
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,And I left my scarf there at your sister's house,3
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,"And you've still got it in your drawer, even now",4
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,"Oh, your sweet disposition and my wide-eyed gaze",5
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,"We're singing in the car, getting lost upstate",6
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,Autumn leaves falling down like pieces into place,7
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,And I can picture it after all these days,8
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,And I know it's long gone and,9
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,That magic's not here no more,10
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,"And I might be okay, but I'm not fine at all",11
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,"Oh, oh, oh",12
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,Causе there we arе again on that little town street,13
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,You almost ran the red 'cause you were lookin' over at me,14
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,"Wind in my hair, I was there",15
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,I remember it all too well,16
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,"Photo album on the counter, your cheeks were turning red",17
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,You used to be a little kid with glasses in a twin-sized bed,18
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,And your mother's telling stories 'bout you on the tee-ball team,19
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,"You taught me 'bout your past, thinking your future was me",20
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,And I know it's long gone and,21
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,There was nothing else I could do,22
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,And I forget about you long enough,23
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,To forget why I needed to,24
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,Cause there we are again in the middle of the night,25
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,We're dancing 'round the kitchen in the refrigerator light,26
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,"Down the stairs, I was there",27
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,"I remember it all too well, yeah",28
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,And maybe we got lost in translation,29
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,Maybe I asked for too much,30
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,But maybe this thing was a masterpiece,31
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,Til you tore it all up,32
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,"Running scared, I was there",33
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,I remember it all too well,34
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,And you call me up again,35
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,Just to break me like a promise,36
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,So casually cruel in the name of being honest,37
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,I'm a crumpled up piece of paper lying here,38
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,"Cause I remember it all, all, all",39
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,Too well,40
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,"Time won't fly, it's like I'm paralyzed by it",41
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,"I'd like to be my old self again, but I'm still trying to find it",42
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,After plaid shirt days and nights when you made me your own,43
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,Now you mail back my things and I walk home alone,44
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,But you keep my old scarf from that very first week,45
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,Cause it reminds you of innocence and it smells like me,46
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,You can't get rid of it,47
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,"Cause you remember it all too well, yeah",48
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,Cause there we are again when I loved you so,49
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,Back before you lost the one real thing you've ever known,50
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,"It was rare, I was there",51
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,I remember it all too well,52
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,"Wind in my hair, you were there",53
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,You remember it all,54
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,"Down the stairs, you were there",55
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,You remember it all,56
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,"It was rare, I was there",57
Red (Taylor’s Version),All Too Well (Taylor’s Version),5,I remember it all too well,58
Red (Taylor’s Version),22 (Taylor’s Version),6,It feels like a perfect night,1
Red (Taylor’s Version),22 (Taylor’s Version),6,To dress up like hipsters,2
Red (Taylor’s Version),22 (Taylor’s Version),6,And make fun of our exes,3
Red (Taylor’s Version),22 (Taylor’s Version),6,"Uh-uh, uh-uh",4
Red (Taylor’s Version),22 (Taylor’s Version),6,It feels like a perfect night,5
Red (Taylor’s Version),22 (Taylor’s Version),6,For breakfast at midnight,6
Red (Taylor’s Version),22 (Taylor’s Version),6,To fall in love with strangers,7
Red (Taylor’s Version),22 (Taylor’s Version),6,"Uh-uh, uh-uh",8
Red (Taylor’s Version),22 (Taylor’s Version),6,Yeah,9
Red (Taylor’s Version),22 (Taylor’s Version),6,"We're happy, free, confused, and lonely at the same time",10
Red (Taylor’s Version),22 (Taylor’s Version),6,"It's miserable and magical, oh yeah",11
Red (Taylor’s Version),22 (Taylor’s Version),6,Tonight's the night when we forget about the deadlines,12
Red (Taylor’s Version),22 (Taylor’s Version),6,"It's time, oh-oh",13
Red (Taylor’s Version),22 (Taylor’s Version),6,I don't know about you,14
Red (Taylor’s Version),22 (Taylor’s Version),6,But I'm feelin' twenty-two,15
